gender,age,work_study_loc,edu,edu_other,discipline,discipline_other,occupation,occupation_other,formation,formation_other,years_experience,org_number,company_size,type_dj,type_dj_other,work_task,work_task_other,prog_lang,prog_lang_other,prog_frequency,prog_frequency_other,prog_experience,prog_edu,prog_edu_other,graphic_tools,tools,tools_other,skill_level_1,skill_level_2,skill_level_3,skill_level_4,skill_level_5,skill_level_6,skill_level_7,skill_training,skill_training_other,skill_upskill,skill_upskill_other,scope_org,scope_org_other,scope,scope_other,beat,beat_other,medium,medium_other,main_platform,main_platform_other,data_used,data_used_other,dedicated_unit,dedicated_unit_other,dedicated_unit_size,project_team_size,project_duration,project_duration_other,collaboration,collaboration_type,collaboration_type_other,challenges,challenges_other,access_local,quality_local,access_national,quality_national,data_journalism_value,data_journalism_value_other,barriers,barriers_other,data_j_value,data_j_value_other,osint_usage...73,osint_tasks,osint_tasks_other,osint_usage...76,osint_usage_other,osint_learning,osint_challenges,osint_ethics,ai_usage,ai_tech,ai_tech_other,ai_tasks,ai_tasks_other,ai_additional_info,ai_challenges,ai_challenges_other,five_years_time,fav_journalist,fav_project,field_improvement,training,training_other,skill_demand_training,skill_demand_training_other,retirement,retirement_other,pigs
Female,25-34,Portugal,Doctoral degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Higher education (university degree, certificates), Self-taught using online resources (videos, blogs, forums)",NA,1-2 years,One,50 to 99 employees,"I write stories that are enriched and supported by data, I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Clean data, Code/programme, Design web pages, Gather data, Produce data visualisations",NA,"JavaScript, HTML/CSS",NA,Occasionally,NA,Less than 1 year,"Self-taught using online resources (videos, blogs, forums)",NA,We use only external software,"Datawrapper, Excel, Flourish, Google Sheets",NA,Intermediate,Intermediate,None,None,Advanced,Novice,Intermediate,"Data Visualisation, Other (please specify)","Front-end development, Power BI","Data Analysis, Journalism, Scraping, Ethics, Data Wrangling",NA,National,NA,National,NA,"Agriculture, Economy, Energy, Environment, Government and Politics, Health, Poverty and Development, Technology, Weather / Climate",NA,"Print or broadcast media outlets with a digital site, Radio",NA,In the online site,NA,"Census data, Crowd-sourced data, Open access data from unofficial sources, Public official governmental data",NA,Dedicated data unit/blog/section/desk/team,NA,3-5,"One, just me",Several weeks,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate software for scraping or analysis, Lack of adequate software for data visualisation, Lack of financial resources",NA,Average,Good,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice, Lack of expert educators",NA,"It increases impartiality, It helps with finding unique stories, It makes a story more reliable, It enables data democratisation",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Female,55-64,France,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Part-time freelancer,NA,"Self-taught using offline resources (books, physical media), Self-taught using online resources (videos, blogs, forums)",NA,1-2 years,More than two,50 to 99 employees,"I expose information that is hidden in the data, I write stories that explain the data",NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,We use a balance of both,"Datawrapper, Excel, Google Sheets, Python",NA,Novice,Advanced,None,Novice,Novice,None,Novice,None,NA,"Data Analysis, Machine Learning, Scraping, Data Wrangling",NA,National,NA,International,NA,"Business and Commerce, Economy, Environment, Health, Technology",NA,Print or broadcast media outlets with a digital site,NA,In both,NA,"Public official governmental data, Scraped data",NA,Sometimes publishing data driven projects,NA,NA,"One, just me",Several weeks,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Lack of adequate knowledge in data visualisation, Ensuring data reliability",NA,Poor,Poor,Average,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice",NA,"It enables data democratisation, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,55-64,Romania,Bachelor's degree,NA,"Natural sciences (e.g. chemistry, medicine, biology)",NA,Full-time employment at a news company/organisation,NA,"Self-taught using online resources (videos, blogs, forums)",NA,3-5 years,One,50 to 99 employees,I write stories that explain the data,NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,Excel,NA,Novice,Advanced,Intermediate,Novice,Intermediate,Intermediate,Intermediate,Journalism,NA,"Data Analysis, Journalism, Machine Learning",NA,"Local (city, municipality, region, state)",NA,"Local (city, municipality, region, state)",NA,"Agriculture, Business and Commerce, Economy, Education, Energy, Environment, Government and Politics, Health, Lifestyle, Poverty and Development, Sports, Weather / Climate",NA,Radio,NA,NA,NA,Social media data,NA,Sometimes publishing data driven projects,NA,NA,2-5,Less than a week,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Lack of financial resources",NA,Average,Poor,Average,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Detecting and monitoring events (e.g., on social media or news media)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills, Lack of expert educators",NA,"It increases impartiality, It makes a story more reliable, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,"Exposing truth in a visual way. Translate raw data into accessible stories. To simplify complexity and empower individuals to make informed decisions.
",NA,NA,NA,NA,NA,NA,FALSE
Female,35-44,France,Master's degree,NA,"Social sciences (e.g. psychology, sociology, political science), Arts and Humanities (e.g. journalism, linguistics, history), Other (Please specify)",data-analysis,Full-time employment at a news company/organisation,NA,"Formal education online (online courses, certifications), Higher education (university degree, certificates)",NA,1-2 years,One,50 to 99 employees,"I write stories that are enriched and supported by data, I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Clean data, Code/programme, Gather data, Produce data visualisations",NA,Python,NA,At least once a week,NA,3-5 years,"Formal education online (online courses, certifications)",NA,We use only external software,"Datawrapper, Excel, Flourish, Gephi, Google Sheets, Python, Tableau",NA,Intermediate,Advanced,Novice,Novice,Intermediate,Intermediate,Intermediate,"Data Analysis, Journalism, Machine Learning, Scraping, Data Visualisation, Data Wrangling, Statistics",NA,"Machine Learning, Scraping, Ethics, Data Wrangling, Statistics",NA,National,NA,"International, National",NA,"Agriculture, Business and Commerce, Economy, Energy, Environment, Weather / Climate",NA,Online-only digital outlet,NA,NA,NA,"Crowd-sourced data, FOI obtained data, Open access data from unofficial sources, Public official governmental data, Scraped data",NA,"Dedicated data unit/blog/section/desk/team, No dedicated data unit, but regularly publish data driven projects",NA,3-5,"One, just me",A month or more,NA,No,NA,NA,"Access to quality data, Time pressure, Ensuring data reliability",NA,Poor,Average,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills",NA,"It increases impartiality, It helps with finding unique stories, It makes a story more reliable, It is necessary given the increase of data, It helps readers make sense of what they are reading",NA,I’m not sure,NA,NA,NA,NA,NA,NA,NA,Yes,Natural Language Processing (NLP),NA,Fact-checking and content verification,NA,We are developping an algorithm to detect greenwashing.,"Explainability and transparency of AI outputs, Concerns about bias and ethics of AI models",NA,Yes,Ariane Lavrilleux,https://www.reuters.com/graphics/MINING-DEEPSEA/CLIMATE/zjpqezqzlpx/,The form we use to tell stories,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,France,Master's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Higher education (university degree, certificates)",NA,1-2 years,One,50 to 99 employees,"I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Clean data, Code/programme, Gather data, Produce data visualisations",NA,"Python, R, JavaScript, HTML/CSS",NA,Occasionally,NA,3-5 years,"Higher education (university degree), Self-taught using online resources (videos, blogs, forums)",NA,We use only external software,"Datawrapper, Flourish, Google Sheets, Python, Tableau",NA,Advanced,Advanced,None,Novice,Advanced,Intermediate,Intermediate,"Data Analysis, Journalism, Data Visualisation",NA,"Scraping, Other (please specify)",Coding,National,NA,National,NA,Education,NA,Online-only digital outlet,NA,NA,NA,"Open access data from unofficial sources, Public official governmental data, Scraped data",NA,Dedicated data unit/blog/section/desk/team,NA,3-5,"One, just me",Less than a week,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate software for scraping or analysis, Lack of adequate software for data visualisation, Lack of financial resources, Ensuring data reliability, Lack of interest from management",NA,Average,Average,Good,Good,"Discovering stories (detecting anomalies and deviations, establishing associations)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills",NA,"It enables data democratisation, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,45-54,Lithuania,Master's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time freelancer,NA,"Self-taught using online resources (videos, blogs, forums)",NA,1-2 years,One,"Just me - I am a freelancer, sole proprietor, etc.",I expose information that is hidden in the data,NA,Gather data,NA,NA,NA,NA,NA,NA,NA,NA,Mostly in-house software but some external,Google Sheets,NA,Novice,Intermediate,Novice,Novice,Novice,Novice,Novice,Ethics,NA,Ethics,NA,National,NA,International,NA,Entertainment,NA,Personal blog,NA,NA,NA,Public official governmental data,NA,Sometimes publishing data driven projects,NA,NA,"One, just me",Less than a day,NA,No,NA,NA,Lack of interest from consumers,NA,Poor,Poor,Very Poor,Very Poor,"Discovering stories (detecting anomalies and deviations, establishing associations)",NA,Lack of expert educators,NA,It makes a story more reliable,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,No,Gunta Sloga,Cyprus papers,Law,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Malta,Master's degree,NA,"Formal sciences (e.g. computer science, mathematics, statistics)",NA,Editor/ Team lead,NA,"Self-taught using offline resources (books, physical media), Self-taught using online resources (videos, blogs, forums)",NA,3-5 years,More than two,"Just me - I am a freelancer, sole proprietor, etc.","I write stories that are enriched and supported by data, I expose information that is hidden in the data, I write stories that explain the data",NA,"Analyse data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,We use a balance of both,"Datamatic, Datawrapper, Excel, Google Sheets, Tableau",NA,Intermediate,Advanced,Novice,Novice,Intermediate,Novice,Advanced,"Data Analysis, Data Visualisation, Data Wrangling",NA,None,NA,"International, Local (city, municipality, region, state)",NA,"International, Local (city, municipality, region, state)",NA,"Agriculture, Economy, Health, Investigative Reports, Lifestyle, Opinion, Technology",NA,Online-only digital outlet,NA,NA,NA,"Crowd-sourced data, Social media data",NA,Sometimes publishing data driven projects,NA,NA,"One, just me",Not applicable,NA,No,NA,NA,"Access to quality data, Lack of financial resources, Lack of interest from management",NA,Average,Average,Average,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of time for training and deepening knowledge of specific skills, Lack of expert educators",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,"Machine Learning, Computer Vision, Generative AI tools (e.g., Bard, ChatGPT, DALL-E, Midjourney)",NA,"Fact-checking and content verification, Predictive modelling",NA,NA,"Dedicated time to experiment with it, Financial constraints",NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Female,25-34,Spain,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Formal education offline (bootcamps, professional courses and training events), Self-taught using online resources (videos, blogs, forums)",NA,3-5 years,One,50 to 99 employees,I expose information that is hidden in the data,NA,"Clean data, Gather data, Produce data visualisations",NA,NA,NA,NA,NA,NA,NA,NA,Mostly external software but some in-house,"Datawrapper, Excel, Google Sheets, R, Tableau",NA,Intermediate,Novice,None,Novice,Intermediate,Intermediate,Novice,"Data Visualisation, Statistics",NA,"Data Analysis, Scraping, Data Visualisation, Statistics",NA,International,NA,International,NA,"Energy, Government and Politics, Opinion",NA,Online-only digital outlet,NA,NA,NA,"Census data, Public official governmental data, Self-administered survey data",NA,Sometimes publishing data driven projects,NA,NA,2-5,Several weeks,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Ensuring data reliability",NA,Average,Good,Average,Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of internship opportunities/struggle to enter industry",NA,"It helps with finding unique stories, It helps with finding important stories, It makes a story more reliable, It enables data democratisation",NA,Yes,"Navigate maps, satellites, and location-based information",NA,"News media, Public government data and reports, Professional and academic publications",NA,follow a couple of accounts writing on the topic,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,still Nathan Yau,"the puddings one, about how people (dont) sleep",NA,NA,NA,NA,NA,NA,NA,TRUE
Female,35-44,Germany,Bachelor's degree,NA,"Social sciences (e.g. psychology, sociology, political science), Arts and Humanities (e.g. journalism, linguistics, history)",NA,Full-time employment at a news company/organisation,NA,"Formal education online (online courses, certifications), Self-taught using online resources (videos, blogs, forums), Workplace training (upskill sessions, bootcamps)",NA,3-5 years,One,500+,None of the above,NA,"Analyse data, Gather data",NA,NA,NA,NA,NA,NA,NA,NA,Mostly in-house software but some external,Other (please specify),"I don't know, as there's a separate department for visualization",Novice,Advanced,None,Novice,Novice,None,Intermediate,"Data Analysis, Journalism, Scraping, Data Visualisation",NA,"Data Analysis, Machine Learning, Scraping, Data Visualisation, Data Wrangling",NA,International,NA,International,NA,"Agriculture, Business and Commerce, Crime / Courts, Economy, Education, Energy, Environment, Government and Politics, Health, Poverty and Development, Technology, Weather / Climate",NA,"Print or broadcast media outlets with a digital site, Social media",NA,In the online site,NA,"Crowd-sourced data, Open access data from unofficial sources, Scraped data, Social media data",NA,Dedicated data unit/blog/section/desk/team,NA,3-5,2-5,Not applicable,NA,Yes,Ongoing project and separate content production,NA,"Access to quality data, Time pressure, Lack of adequate knowledge in data analysis, Lack of adequate knowledge in data visualisation, Lack of financial resources, Lack of interest from management",NA,Average,Good,Good,Very Good,"Discovering stories (detecting anomalies and deviations, establishing associations), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of financial resources, Lack of on-field practice, Lack of expert educators",NA,"It makes a story more reliable, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Male,45-54,Greece,Bachelor's degree,NA,"Arts and Humanities (e.g. journalism, linguistics, history)",NA,Editor/ Team lead,NA,"Workplace training (upskill sessions, bootcamps)",NA,3-5 years,One,NA,I write stories that are enriched and supported by data,NA,Analyse data,NA,NA,NA,NA,NA,NA,NA,NA,We use only external software,"Excel, Google Sheets, R, Tableau",NA,Intermediate,Advanced,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,"Scraping, Data Visualisation, Data Wrangling",NA,"Machine Learning, Statistics",NA,International,NA,International,NA,"Business and Commerce, Economy, Education, Energy, Environment, Health, Poverty and Development, Technology, Weather / Climate",NA,Online-only digital outlet,NA,NA,NA,"Census data, Crowd-sourced data, Public official governmental data, Scraped data",NA,"No dedicated data unit, but regularly publish data driven projects",NA,NA,2-5,Less than a week,NA,No,NA,NA,"Access to quality data, Time pressure, Lack of financial resources, Ensuring data reliability, Lack of interest from consumers",NA,Poor,Average,Poor,Average,"Discovering stories (detecting anomalies and deviations, establishing associations), Making predictions (e.g., political or weather forecasting), Finding the truth (verifying sources and content, or fact-checking)",NA,"Lack of time for training and deepening knowledge of specific skills, Lack of on-field practice, Lack of internship opportunities/struggle to enter industry",NA,"It increases impartiality, It makes a story more reliable, It enables data democratisation, It helps readers make sense of what they are reading",NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
