Country;pop
EuropeanUnion-27countries(from2020);448803078
Belgium;11742796
Bulgaria;6447710
Czech Republic;10827529
Denmark;5932654
Germany;84358845
Estonia;1365884
Ireland;5271395
Greece;10413982
Spain;48085361
France;68172977
Croatia;3850894
Italy;58997201
Cyprus;920701
Latvia;1883008
Lithuania;2857279
Luxembourg;660809
Hungary;9599744
Malta;542051
Netherlands;17811291
Austria;9104772
Poland;36753736
Portugal;10516621
Romania;19054548
Slovenia;2116972
Slovakia;5428792
Finland;5563970
Sweden;10521556
Iceland;387758
Liechtenstein;39677
Norway;5488984
Switzerland;8815385
Montenegro;616695
Moldova;2512758
NorthMacedonia;1829954
Georgia;3736357
Albania;2761785
Serbia;6641197
Türkiye;85279553
